snapshot_id,resource_id,metric_name,metric_query_id,current_value,unit,fetched_at,ttl_seconds,is_stale,warning_breached,critical_breached
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf,error_rate,mq-error-rate,0.072,fraction,2026-06-15T10:00:00+08:00,300,false,true,true
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf,restart_count,mq-restart-count,3,count,2026-06-15T10:00:00+08:00,600,false,true,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg,cpu_usage,mq-cpu-usage,28.7,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg,memory_usage,mq-memory-usage,48.1,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg,qps,mq-qps,1010.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg,error_rate,mq-error-rate,0.001,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdg,restart_count,mq-restart-count,0,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh,cpu_usage,mq-cpu-usage,51.3,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh,memory_usage,mq-memory-usage,66.9,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh,qps,mq-qps,1190.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh,error_rate,mq-error-rate,0.003,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdh,restart_count,mq-restart-count,1,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi,cpu_usage,mq-cpu-usage,22.5,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi,memory_usage,mq-memory-usage,40.2,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi,qps,mq-qps,980.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi,error_rate,mq-error-rate,0.001,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdi,restart_count,mq-restart-count,0,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj,cpu_usage,mq-cpu-usage,0,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj,memory_usage,mq-memory-usage,0,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj,qps,mq-qps,0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj,error_rate,mq-error-rate,0,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdj,restart_count,mq-restart-count,0,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk,cpu_usage,mq-cpu-usage,35.6,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk,memory_usage,mq-memory-usage,52.4,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk,qps,mq-qps,1100.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk,error_rate,mq-error-rate,0.002,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdk,restart_count,mq-restart-count,0,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl_cpu_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl,cpu_usage,mq-cpu-usage,48.9,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl_memory_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl,memory_usage,mq-memory-usage,58.7,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl_qps_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl,qps,mq-qps,1210.0,requests/s,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl_error_rate_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl,error_rate,mq-error-rate,0.004,fraction,2026-06-15T10:00:00+08:00,300,false,false,false
snap_pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl_restart_20260615100000,pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl,restart_count,mq-restart-count,2,count,2026-06-15T10:00:00+08:00,600,false,false,false
snap_node:cce-prod-01:worker-01_node_cpu_20260615100000,node:cce-prod-01:worker-01,node_cpu_usage,mq-node-cpu,50,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_node:cce-prod-01:worker-01_node_memory_20260615100000,node:cce-prod-01:worker-01,node_memory_usage,mq-node-memory,56,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_node:cce-prod-01:worker-02_node_cpu_20260615100000,node:cce-prod-01:worker-02,node_cpu_usage,mq-node-cpu,41,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_node:cce-prod-01:worker-02_node_memory_20260615100000,node:cce-prod-01:worker-02,node_memory_usage,mq-node-memory,68,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_node:cce-prod-01:worker-03_node_cpu_20260615100000,node:cce-prod-01:worker-03,node_cpu_usage,mq-node-cpu,62,percent,2026-06-15T10:00:00+08:00,300,false,false,false
snap_node:cce-prod-01:worker-03_node_memory_20260615100000,node:cce-prod-01:worker-03,node_memory_usage,mq-node-memory,55,percent,2026-06-15T10:00:00+08:00,300,false,false,false
